run,method,d2_total,d2_direct_count,d2_direct_acc,d2_code_count,d2_code_acc,d3_total,d3_direct_count,d3_direct_acc,d3_code_count,d3_code_acc,d4_total,d4_direct_count,d4_direct_acc,d4_code_count,d4_code_acc,d5_total,d5_direct_count,d5_direct_acc,d5_code_count,d5_code_acc,d6_total,d6_direct_count,d6_direct_acc,d6_code_count,d6_code_acc,overall_total,overall_direct_count,overall_direct_acc,overall_code_count,overall_code_acc
async-gpt-4o-run0,cot,104,70,0.673077,0,0.000000,104,31,0.298077,0,0.000000,104,16,0.153846,0,0.000000,152,16,0.105263,0,0.000000,140,20,0.142857,0,0.000000,604,153,0.253311,0,0.000000
async-gpt-4o-run0,cot-sc,104,55,0.528846,0,0.000000,104,27,0.259615,0,0.000000,104,22,0.211538,0,0.000000,152,42,0.276316,0,0.000000,140,28,0.200000,0,0.000000,604,174,0.288079,0,0.000000
async-gpt-4o-run0,debate,104,60,0.576923,17,0.163462,104,29,0.278846,10,0.096154,104,12,0.115385,7,0.067308,152,24,0.157895,5,0.032895,140,27,0.192857,10,0.071429,604,152,0.251656,49,0.081126
async-gpt-4o-run0,reflexion,104,71,0.682692,1,0.009615,104,31,0.298077,0,0.000000,104,23,0.221154,0,0.000000,152,18,0.118421,0,0.000000,140,22,0.157143,0,0.000000,604,165,0.273179,1,0.001656
async-gpt-4o-run0,self,104,52,0.500000,1,0.009615,104,25,0.240385,2,0.019231,104,24,0.230769,0,0.000000,152,36,0.236842,1,0.006579,140,36,0.257143,0,0.000000,604,173,0.286424,4,0.006623
async-gpt-4o-run1,cot,104,78,0.750000,0,0.000000,104,30,0.288462,0,0.000000,104,16,0.153846,0,0.000000,152,21,0.138158,0,0.000000,140,18,0.128571,0,0.000000,604,163,0.269868,0,0.000000
async-gpt-4o-run1,cot-sc,104,65,0.625000,0,0.000000,104,35,0.336538,0,0.000000,104,23,0.221154,0,0.000000,152,31,0.203947,0,0.000000,140,34,0.242857,0,0.000000,604,188,0.311258,0,0.000000
async-gpt-4o-run1,debate,104,53,0.509615,22,0.211538,104,25,0.240385,17,0.163462,104,17,0.163462,9,0.086538,152,22,0.144737,9,0.059211,140,33,0.235714,12,0.085714,604,150,0.248344,69,0.114238
async-gpt-4o-run1,reflexion,104,67,0.644231,1,0.009615,104,34,0.326923,2,0.019231,104,20,0.192308,0,0.000000,152,18,0.118421,0,0.000000,140,19,0.135714,1,0.007143,604,158,0.261589,4,0.006623
async-gpt-4o-run1,self,104,66,0.634615,1,0.009615,104,32,0.307692,2,0.019231,104,22,0.211538,1,0.009615,152,25,0.164474,0,0.000000,140,34,0.242857,2,0.014286,604,179,0.296358,6,0.009934
async-gpt-4o-run2,cot,104,76,0.730769,0,0.000000,104,27,0.259615,0,0.000000,104,13,0.125000,0,0.000000,152,16,0.105263,0,0.000000,140,17,0.121429,0,0.000000,604,149,0.246689,0,0.000000
async-gpt-4o-run2,cot-sc,104,65,0.625000,0,0.000000,104,30,0.288462,0,0.000000,104,31,0.298077,0,0.000000,152,37,0.243421,0,0.000000,140,29,0.207143,0,0.000000,604,192,0.317881,0,0.000000
async-gpt-4o-run2,debate,104,52,0.500000,14,0.134615,104,27,0.259615,10,0.096154,104,25,0.240385,14,0.134615,152,14,0.092105,10,0.065789,140,15,0.107143,17,0.121429,604,133,0.220199,65,0.107616
async-gpt-4o-run2,reflexion,104,63,0.605769,2,0.019231,104,37,0.355769,0,0.000000,104,19,0.182692,1,0.009615,152,17,0.111842,0,0.000000,140,21,0.150000,0,0.000000,604,157,0.259934,3,0.004967
async-gpt-4o-run2,self,104,65,0.625000,3,0.028846,104,31,0.298077,1,0.009615,104,29,0.278846,2,0.019231,152,29,0.190789,1,0.006579,140,29,0.207143,1,0.007143,604,183,0.302980,8,0.013245
async-gpt5-run0,cot,104,81,0.778846,62,0.596154,104,76,0.730769,52,0.500000,104,74,0.711538,44,0.423077,152,107,0.703947,50,0.328947,140,90,0.642857,36,0.257143,604,428,0.708609,244,0.403974
async-gpt5-run0,cot-sc,104,84,0.807692,57,0.548077,104,84,0.807692,49,0.471154,104,81,0.778846,47,0.451923,152,107,0.703947,56,0.368421,140,95,0.678571,43,0.307143,604,451,0.746689,252,0.417219
async-gpt5-run0,debate,104,81,0.778846,54,0.519231,104,76,0.730769,56,0.538462,104,79,0.759615,49,0.471154,152,112,0.736842,67,0.440789,140,100,0.714286,51,0.364286,604,448,0.741722,277,0.458609
async-gpt5-run0,reflexion,104,81,0.778846,56,0.538462,104,77,0.740385,44,0.423077,104,81,0.778846,44,0.423077,152,115,0.756579,57,0.375000,140,104,0.742857,46,0.328571,604,458,0.758278,247,0.408940
async-gpt5-run0,self,104,69,0.663462,48,0.461538,104,65,0.625000,37,0.355769,104,66,0.634615,29,0.278846,152,100,0.657895,37,0.243421,140,90,0.642857,34,0.242857,604,390,0.645695,185,0.306291
async-oss-120b-rerun0,cot,104,89,0.855769,0,0.000000,104,85,0.817308,0,0.000000,104,82,0.788462,0,0.000000,152,110,0.723684,0,0.000000,140,108,0.771429,0,0.000000,604,474,0.784768,0,0.000000
